City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
261,Marawi,7.9986,124.2928,67.33,95,89,0.98,PH,overcast clouds
262,Peniche,39.3558,-9.3811,55.29,68,76,24.76,PT,broken clouds
263,Carbonear,47.7332,-53.2148,42.6,87,85,24.87,CA,overcast clouds
264,Pengcheng,36.4311,114.17,51.28,60,23,4.61,CN,few clouds
265,Longyearbyen,78.2186,15.6401,8.44,52,20,21.85,SJ,few clouds
266,Quatre Cocos,-20.2078,57.7625,79.09,79,21,13.09,MU,few clouds
267,Bogorodskoye,56.55,37.8833,16.93,97,100,3.33,RU,overcast clouds
268,Le Port,-20.9373,55.2919,75.2,82,99,8.7,RE,light rain
269,Hay River,60.8156,-115.7999,31.6,95,99,9.24,CA,overcast clouds
270,Port Augusta,-32.5,137.7667,58.51,67,3,2.91,AU,clear sky
271,Mount Isa,-20.7333,139.5,67.77,30,100,5.75,AU,light rain
272,Praia,14.9215,-23.5087,72.14,64,20,16.11,CV,few clouds
273,Haines Junction,60.7522,-137.5108,30.51,84,100,2.17,CA,overcast clouds
274,Hithadhoo,-0.6,73.0833,83.03,69,53,4.81,MV,broken clouds
275,Kataysk,56.289,62.5841,36.43,96,99,10.04,RU,overcast clouds
276,Holme,56.1138,10.1725,40.57,91,100,17.74,DK,light rain
277,Biltine,14.5333,20.9167,88.12,10,63,9.66,TD,broken clouds
278,Aranos,-24.1333,19.1167,72.3,23,3,12.41,NA,clear sky
279,Aykhal,66.0,111.5,3.76,97,100,8.43,RU,overcast clouds
280,Najran,17.4924,44.1277,67.14,15,10,0.92,SA,clear sky
281,Papara,-3.9839,-38.7273,81.68,91,48,3.85,BR,scattered clouds
282,Mbamba,9.9833,13.1,86.95,12,100,4.07,NG,overcast clouds
283,Vanavara,60.34,102.2797,-1.7,99,42,3.36,RU,scattered clouds
284,Khon Kaen,16.5,102.0833,69.64,56,100,3.11,TH,overcast clouds
285,Nantucket,41.2835,-70.0995,48.31,77,100,9.22,US,overcast clouds
286,Igarka,67.4667,86.5833,-8.23,100,100,2.64,RU,overcast clouds
287,Aklavik,68.2191,-135.0107,-6.16,87,100,10.65,CA,overcast clouds
288,Bilma,18.6853,12.9164,87.26,5,3,5.79,NE,clear sky
289,Daye,30.0833,114.95,54.7,65,100,6.24,CN,overcast clouds
290,Cidreira,-30.1811,-50.2056,69.98,95,100,19.13,BR,moderate rain
291,Yining,29.0361,114.5636,52.68,82,97,0.96,CN,overcast clouds
292,Tallahassee,30.4383,-84.2807,79.32,37,0,8.05,US,clear sky
293,Guadalupe Victoria,32.2869,-115.105,77.07,30,0,5.14,MX,clear sky
294,Aksarka,66.5606,67.7975,13.64,84,100,11.48,RU,overcast clouds
295,Nortelandia,-14.4547,-56.8028,80.6,82,73,3.0,BR,broken clouds
296,Hasaki,35.7333,140.8333,48.29,75,98,21.16,JP,moderate rain
297,Osorno,-40.5667,-73.15,57.51,62,75,8.05,CL,broken clouds
298,Kungurtug,50.5994,97.5228,28.49,86,100,2.71,RU,overcast clouds
299,Cartagena,10.3997,-75.5144,83.82,79,75,9.22,CO,broken clouds
300,Mayumba,-3.432,10.6554,77.88,93,47,5.17,GA,scattered clouds
301,Pisco,-13.7,-76.2167,73.45,64,0,20.71,PE,clear sky
302,Canmore,51.0834,-115.3521,42.82,58,76,6.78,CA,broken clouds
303,Leningradskiy,69.3833,178.4167,-17.82,100,95,2.51,RU,overcast clouds
304,Kenai,60.5544,-151.2583,40.03,60,20,10.36,US,few clouds
305,Dunedin,-45.8742,170.5036,56.8,75,93,5.01,NZ,overcast clouds
306,Elat,29.5581,34.9482,76.84,11,0,17.27,IL,clear sky
307,Zalesovo,53.9939,84.7431,33.12,100,100,2.62,RU,overcast clouds
308,Grindavik,63.8424,-22.4338,39.67,100,75,16.11,IS,broken clouds
309,Zhucheng,35.9947,119.3975,45.32,71,0,6.35,CN,clear sky
310,Faanui,-16.4833,-151.75,81.82,75,71,10.51,PF,broken clouds
311,Dalbandin,28.8947,64.4101,74.84,9,2,5.44,PK,clear sky
312,Porbandar,21.6422,69.6093,78.46,74,0,9.66,IN,clear sky
313,Akhnur,32.8667,74.7333,72.72,17,0,7.38,IN,clear sky
314,Isangel,-19.55,169.2667,80.24,84,100,8.39,VU,overcast clouds
315,Cayenne,4.9333,-52.3333,82.09,1,75,10.36,GF,light rain
316,Saldanha,-33.0117,17.9442,61.93,80,0,3.85,ZA,clear sky
317,Labuhan,-6.8844,112.2051,75.49,90,100,9.31,ID,overcast clouds
318,Bourail,-21.5667,165.4833,78.73,89,100,4.16,NC,overcast clouds
319,Virginia Beach,36.8529,-75.978,71.65,30,20,14.97,US,few clouds
320,Mnogovershinnyy,53.9353,139.9242,26.78,92,95,4.72,RU,overcast clouds
321,Aksarayskiy,46.7924,48.0119,61.05,49,100,9.98,RU,overcast clouds
322,Puerto Baquerizo Moreno,-0.9,-89.6,83.39,79,40,11.5,EC,scattered clouds
323,Lavrentiya,65.5833,-171.0,-8.03,89,22,11.16,RU,few clouds
324,Chuy,-33.6971,-53.4616,71.62,68,92,10.69,UY,overcast clouds
325,Korla,41.7597,86.1469,57.02,23,0,3.51,CN,clear sky
326,Esmeraldas,-19.7625,-44.3139,76.06,66,32,4.54,BR,scattered clouds
327,Camacha,33.0833,-16.3333,58.42,67,75,25.32,PT,broken clouds
328,Treinta Y Tres,-33.2333,-54.3833,71.04,71,99,10.69,UY,light rain
329,Gashua,12.871,11.0482,89.46,6,67,9.44,NG,broken clouds
330,Paamiut,61.994,-49.6678,35.8,80,88,7.9,GL,overcast clouds
331,Inhambane,-23.865,35.3833,78.04,70,8,11.99,MZ,clear sky
332,Sinnamary,5.3833,-52.95,79.23,87,50,11.65,GF,moderate rain
333,El Cobre,20.0489,-75.9469,83.64,70,40,10.36,CU,scattered clouds
334,Arinis,47.5,23.2333,33.98,85,92,8.19,RO,overcast clouds
335,Tura,25.5198,90.2201,69.84,94,11,6.31,IN,few clouds
336,Boa Vista,2.8197,-60.6733,82.38,65,75,5.75,BR,broken clouds
337,Pasni,25.2631,63.471,77.2,70,6,5.19,PK,clear sky
338,Itaituba,-4.2761,-55.9836,81.46,77,100,2.66,BR,light rain
339,Birjand,32.8663,59.2211,66.52,15,0,4.81,IR,clear sky
340,Hays,30.0502,-98.0336,86.09,40,0,7.0,US,clear sky
341,Pampa,35.5362,-100.9599,72.57,30,0,14.97,US,clear sky
342,La Ronge,55.1001,-105.2842,38.08,86,90,1.81,CA,overcast clouds
343,Marion,39.7684,-86.1555,59.52,42,20,16.11,US,few clouds
344,Iskateley,67.6803,53.1512,9.66,93,100,10.29,RU,overcast clouds
345,Elko,41.0002,-115.5012,57.22,9,0,7.0,US,clear sky
